country_code	country	age	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
270	Gambia	0	40.629	40.721	40.776	40.829	40.885	40.931	40.999	41.07	41.158	41.284	41.392	41.502	41.602	41.734	41.873	41.981	42.056	42.131	42.215	42.239	42.222	42.176	42.15	42.151	42.055	41.928	41.842	41.74	41.617	41.493	41.317	41.196	41.095	40.96	40.85	40.744	40.636	40.534	40.358	40.228	40.091	39.98	39.767	39.637	39.492	39.342	39.254	39.06	38.911	38.74	38.629	38.452	38.28	38.092	37.909	37.715	37.523	37.317	37.089	36.847	36.614	36.383	36.168	35.997	35.829	35.64	35.501	35.326	35.126	34.933	34.745	34.508	34.303	34.127	33.976	33.751	33.577
270	Gambia	1	40.167	40.326	40.425	40.485	40.548	40.608	40.659	40.733	40.813	40.906	41.035	41.148	41.264	41.368	41.51	41.649	41.761	41.836	41.92	42.006	42.032	42.02	41.977	41.957	41.959	41.868	41.746	41.662	41.563	41.442	41.33	41.151	41.034	40.939	40.804	40.701	40.601	40.501	40.399	40.224	40.098	39.966	39.853	39.638	39.515	39.368	39.221	39.132	38.941	38.8	38.631	38.521	38.343	38.176	37.993	37.807	37.615	37.425	37.221	36.996	36.759	36.529	36.296	36.089	35.92	35.75	35.561	35.421	35.252	35.054	34.855	34.673	34.44	34.236	34.065	33.919	33.688
270	Gambia	2	39.472	39.966	40.129	40.229	40.294	40.358	40.42	40.475	40.555	40.637	40.731	40.863	40.979	41.097	41.207	41.348	41.49	41.601	41.683	41.767	41.854	41.883	41.872	41.833	41.814	41.819	41.731	41.611	41.529	41.43	41.319	41.204	41.029	40.917	40.821	40.692	40.594	40.5	40.399	40.297	40.127	40.005	39.871	39.755	39.546	39.421	39.277	39.128	39.041	38.858	38.718	38.55	38.438	38.264	38.102	37.916	37.731	37.542	37.353	37.15	36.93	36.696	36.464	36.237	36.032	35.862	35.691	35.5	35.365	35.199	34.996	34.801	34.622	34.391	34.191	34.024	33.872
270	Gambia	3	38.851	39.287	39.782	39.947	40.053	40.119	40.185	40.25	40.31	40.392	40.475	40.573	40.708	40.825	40.949	41.059	41.202	41.343	41.46	41.542	41.628	41.717	41.747	41.74	41.702	41.685	41.693	41.607	41.488	41.407	41.317	41.203	41.091	40.921	40.808	40.718	40.593	40.501	40.407	40.306	40.208	40.041	39.917	39.781	39.67	39.46	39.337	39.191	39.045	38.964	38.782	38.643	38.474	38.366	38.196	38.03	37.846	37.664	37.475	37.287	37.089	36.872	36.636	36.41	36.185	35.978	35.807	35.635	35.449	35.317	35.145	34.946	34.754	34.577	34.349	34.153	33.981
270	Gambia	4	38.166	38.681	39.12	39.615	39.784	39.891	39.959	40.028	40.098	40.16	40.244	40.33	40.43	40.566	40.69	40.813	40.926	41.067	41.214	41.331	41.414	41.502	41.592	41.626	41.62	41.584	41.57	41.579	41.494	41.376	41.304	41.211	41.1	40.992	40.821	40.714	40.627	40.508	40.415	40.321	40.224	40.129	39.96	39.835	39.703	39.591	39.383	39.259	39.115	38.975	38.895	38.713	38.573	38.407	38.303	38.13	37.966	37.783	37.602	37.415	37.231	37.036	36.816	36.586	36.361	36.135	35.928	35.756	35.588	35.404	35.267	35.099	34.903	34.713	34.539	34.314	34.114
270	Gambia	5	37.522	38.012	38.529	38.968	39.467	39.637	39.745	39.816	39.89	39.962	40.025	40.111	40.2	40.301	40.443	40.566	40.692	40.803	40.95	41.097	41.214	41.3	41.389	41.482	41.516	41.512	41.479	41.466	41.476	41.392	41.282	41.207	41.117	41.01	40.901	40.735	40.631	40.549	40.43	40.337	40.246	40.152	40.056	39.885	39.764	39.631	39.521	39.311	39.189	39.05	38.911	38.832	38.65	38.512	38.35	38.243	38.071	37.909	37.727	37.547	37.363	37.182	36.984	36.77	36.541	36.315	36.089	35.88	35.712	35.547	35.359	35.225	35.06	34.865	34.677	34.506	34.278
270	Gambia	6	36.905	37.385	37.876	38.394	38.836	39.335	39.506	39.617	39.692	39.767	39.84	39.906	39.994	40.084	40.191	40.332	40.457	40.581	40.697	40.845	40.992	41.112	41.198	41.29	41.383	41.419	41.417	41.385	41.374	41.384	41.307	41.195	41.122	41.035	40.928	40.823	40.66	40.561	40.479	40.359	40.269	40.181	40.085	39.987	39.821	39.698	39.567	39.456	39.248	39.131	38.993	38.854	38.774	38.595	38.46	38.295	38.189	38.019	37.858	37.677	37.5	37.318	37.136	36.942	36.729	36.5	36.273	36.046	35.841	35.675	35.505	35.32	35.189	35.025	34.832	34.648	34.473
270	Gambia	7	37.076	36.784	37.265	37.757	38.277	38.719	39.218	39.391	39.506	39.582	39.659	39.734	39.802	39.891	39.986	40.092	40.235	40.359	40.488	40.604	40.752	40.901	41.021	41.11	41.202	41.297	41.335	41.334	41.303	41.292	41.309	41.23	41.119	41.049	40.962	40.858	40.757	40.598	40.498	40.416	40.299	40.212	40.122	40.024	39.93	39.762	39.641	39.509	39.399	39.196	39.079	38.942	38.802	38.724	38.548	38.411	38.247	38.143	37.973	37.813	37.635	37.46	37.276	37.098	36.905	36.691	36.462	36.234	36.01	35.807	35.637	35.471	35.288	35.157	34.996	34.806	34.618
270	Gambia	8	37.202	36.969	36.68	37.161	37.655	38.175	38.618	39.117	39.294	39.41	39.487	39.566	39.643	39.712	39.805	39.899	40.007	40.149	40.277	40.406	40.523	40.672	40.821	40.944	41.033	41.126	41.223	41.262	41.262	41.231	41.226	41.24	41.163	41.055	40.985	40.901	40.799	40.701	40.542	40.442	40.362	40.248	40.159	40.067	39.973	39.878	39.711	39.589	39.458	39.352	39.15	39.033	38.895	38.758	38.682	38.504	38.368	38.205	38.101	37.933	37.775	37.598	37.422	37.242	37.065	36.872	36.657	36.426	36.202	35.98	35.773	35.606	35.441	35.26	35.131	34.972	34.779
270	Gambia	9	37.261	37.107	36.877	36.59	37.073	37.567	38.087	38.53	39.033	39.21	39.327	39.406	39.485	39.564	39.636	39.729	39.825	39.932	40.077	40.205	40.334	40.453	40.602	40.753	40.876	40.966	41.061	41.158	41.198	41.198	41.172	41.165	41.181	41.105	40.997	40.93	40.849	40.75	40.652	40.493	40.395	40.317	40.201	40.11	40.022	39.927	39.832	39.665	39.544	39.417	39.311	39.109	38.992	38.856	38.72	38.643	38.465	38.331	38.168	38.065	37.899	37.742	37.564	37.391	37.213	37.034	36.841	36.625	36.397	36.175	35.949	35.745	35.58	35.416	35.236	35.11	34.948
270	Gambia	10	37.261	37.177	37.025	36.796	36.512	36.995	37.489	38.01	38.456	38.958	39.136	39.254	39.335	39.415	39.497	39.569	39.663	39.758	39.868	40.013	40.142	40.272	40.39	40.542	40.693	40.817	40.908	41.003	41.101	41.14	41.145	41.118	41.112	41.129	41.054	40.949	40.883	40.805	40.706	40.608	40.45	40.354	40.275	40.157	40.069	39.98	39.886	39.79	39.624	39.506	39.38	39.274	39.071	38.956	38.822	38.685	38.608	38.431	38.297	38.135	38.034	37.869	37.711	37.537	37.364	37.185	37.006	36.812	36.599	36.372	36.147	35.923	35.721	35.556	35.394	35.216	35.087
270	Gambia	11	37.196	37.185	37.102	36.951	36.726	36.443	36.926	37.42	37.943	38.389	38.892	39.071	39.19	39.271	39.355	39.436	39.509	39.602	39.7	39.81	39.956	40.085	40.215	40.335	40.487	40.639	40.763	40.855	40.951	41.049	41.092	41.095	41.069	41.065	41.082	41.009	40.906	40.843	40.764	40.665	40.568	40.413	40.315	40.234	40.119	40.031	39.942	39.847	39.752	39.589	39.472	39.345	39.239	39.038	38.924	38.789	38.652	38.576	38.4	38.266	38.106	38.006	37.84	37.685	37.511	37.338	37.158	36.979	36.787	36.575	36.346	36.122	35.9	35.699	35.536	35.376	35.195
270	Gambia	12	36.623	37.124	37.114	37.033	36.885	36.66	36.378	36.861	37.358	37.881	38.327	38.83	39.01	39.13	39.214	39.297	39.379	39.451	39.547	39.645	39.755	39.902	40.031	40.163	40.283	40.435	40.588	40.714	40.806	40.901	41.003	41.045	41.049	41.024	41.02	41.039	40.968	40.867	40.804	40.725	40.627	40.532	40.375	40.276	40.198	40.082	39.994	39.905	39.81	39.719	39.556	39.439	39.311	39.207	39.008	38.893	38.757	38.622	38.546	38.37	38.238	38.079	37.978	37.815	37.66	37.486	37.312	37.132	36.954	36.764	36.55	36.322	36.1	35.879	35.679	35.517	35.355
270	Gambia	13	35.371	36.553	37.055	37.046	36.967	36.819	36.595	36.315	36.8	37.297	37.82	38.266	38.77	38.951	39.073	39.156	39.241	39.322	39.397	39.493	39.591	39.702	39.849	39.98	40.112	40.232	40.385	40.539	40.664	40.757	40.856	40.956	40.999	41.004	40.979	40.977	40.998	40.929	40.828	40.764	40.686	40.591	40.494	40.336	40.239	40.16	40.045	39.957	39.868	39.776	39.685	39.522	39.405	39.279	39.176	38.975	38.861	38.726	38.591	38.515	38.341	38.21	38.051	37.952	37.789	37.634	37.46	37.285	37.107	36.931	36.738	36.525	36.299	36.078	35.858	35.66	35.496
270	Gambia	14	34.206	35.3	36.482	36.984	36.978	36.899	36.753	36.53	36.253	36.738	37.234	37.758	38.205	38.709	38.892	39.013	39.098	39.182	39.265	39.34	39.437	39.536	39.647	39.795	39.926	40.058	40.18	40.334	40.487	40.613	40.709	40.806	40.907	40.952	40.957	40.934	40.933	40.956	40.887	40.786	40.724	40.647	40.55	40.453	40.297	40.2	40.121	40.005	39.918	39.832	39.74	39.649	39.486	39.37	39.246	39.141	38.941	38.827	38.693	38.558	38.485	38.312	38.18	38.022	37.924	37.761	37.606	37.431	37.258	37.081	36.902	36.711	36.5	36.275	36.055	35.837	35.636
270	Gambia	15	33.072	34.131	35.225	36.406	36.909	36.903	36.826	36.681	36.461	36.184	36.67	37.166	37.69	38.137	38.643	38.826	38.948	39.032	39.118	39.202	39.278	39.375	39.474	39.586	39.735	39.866	40	40.122	40.276	40.429	40.558	40.652	40.751	40.853	40.897	40.905	40.883	40.885	40.907	40.838	40.738	40.678	40.6	40.503	40.407	40.251	40.154	40.075	39.96	39.875	39.789	39.698	39.606	39.445	39.33	39.205	39.101	38.901	38.788	38.654	38.521	38.449	38.275	38.145	37.989	37.89	37.727	37.571	37.398	37.227	37.047	36.87	36.68	36.47	36.246	36.028	35.808
270	Gambia	16	32.074	32.985	34.043	35.136	36.317	36.82	36.815	36.738	36.596	36.377	36.102	36.588	37.085	37.609	38.058	38.562	38.746	38.868	38.954	39.04	39.124	39.201	39.298	39.398	39.511	39.66	39.792	39.926	40.049	40.202	40.359	40.487	40.582	40.682	40.784	40.83	40.839	40.82	40.821	40.843	40.776	40.677	40.616	40.537	40.442	40.346	40.19	40.092	40.014	39.902	39.817	39.732	39.64	39.55	39.39	39.274	39.149	39.046	38.847	38.734	38.602	38.471	38.397	38.226	38.097	37.94	37.841	37.677	37.523	37.351	37.178	37	36.825	36.636	36.427	36.206	35.985
270	Gambia	17	31.21	31.965	32.876	33.933	35.026	36.204	36.707	36.703	36.63	36.489	36.271	35.997	36.483	36.98	37.506	37.954	38.458	38.64	38.765	38.851	38.937	39.022	39.098	39.197	39.298	39.411	39.561	39.693	39.827	39.949	40.107	40.262	40.39	40.487	40.586	40.691	40.739	40.75	40.731	40.731	40.755	40.689	40.589	40.526	40.45	40.354	40.258	40.101	40.005	39.93	39.818	39.733	39.647	39.557	39.469	39.307	39.191	39.068	38.965	38.767	38.656	38.526	38.392	38.322	38.152	38.022	37.865	37.765	37.604	37.452	37.276	37.105	36.93	36.756	36.569	36.362	36.138
270	Gambia	18	30.313	31.075	31.83	32.739	33.796	34.887	36.062	36.565	36.565	36.492	36.351	36.135	35.863	36.349	36.848	37.372	37.82	38.321	38.507	38.631	38.717	38.803	38.888	38.966	39.064	39.165	39.279	39.429	39.562	39.695	39.823	39.977	40.133	40.263	40.358	40.46	40.567	40.618	40.629	40.608	40.61	40.636	40.568	40.465	40.405	40.328	40.232	40.135	39.979	39.887	39.812	39.701	39.614	39.53	39.442	39.351	39.19	39.076	38.952	38.85	38.655	38.546	38.413	38.284	38.215	38.044	37.913	37.754	37.658	37.499	37.343	37.171	37.002	36.828	36.656	36.472	36.262
270	Gambia	19	29.02	30.152	30.915	31.668	32.577	33.631	34.718	35.892	36.397	36.397	36.325	36.185	35.971	35.7	36.189	36.685	37.209	37.653	38.158	38.342	38.465	38.552	38.638	38.725	38.802	38.9	39.002	39.117	39.266	39.397	39.537	39.66	39.816	39.973	40.101	40.201	40.305	40.415	40.465	40.474	40.456	40.46	40.482	40.411	40.312	40.25	40.173	40.075	39.979	39.829	39.737	39.662	39.548	39.465	39.383	39.292	39.201	39.042	38.927	38.804	38.706	38.513	38.401	38.274	38.146	38.075	37.902	37.77	37.616	37.522	37.357	37.205	37.036	36.869	36.697	36.529	36.341
270	Gambia	20	27.931	28.842	29.973	30.733	31.488	32.393	33.443	34.529	35.704	36.207	36.207	36.136	35.998	35.785	35.52	36.005	36.502	37.02	37.468	37.971	38.154	38.278	38.363	38.452	38.537	38.614	38.715	38.816	38.93	39.077	39.217	39.351	39.476	39.633	39.788	39.92	40.022	40.131	40.239	40.287	40.298	40.282	40.282	40.301	40.234	40.133	40.071	39.991	39.894	39.805	39.655	39.562	39.485	39.374	39.294	39.208	39.117	39.028	38.868	38.755	38.636	38.54	38.343	38.238	38.112	37.982	37.91	37.735	37.608	37.457	37.356	37.196	37.047	36.879	36.716	36.549	36.375
270	Gambia	21	26.873	27.745	28.655	29.782	30.544	31.295	32.197	33.246	34.333	35.504	36.006	36.007	35.937	35.8	35.594	35.327	35.812	36.302	36.826	37.271	37.772	37.956	38.078	38.167	38.253	38.339	38.418	38.518	38.619	38.731	38.888	39.021	39.157	39.284	39.438	39.598	39.733	39.84	39.946	40.052	40.102	40.117	40.096	40.091	40.115	40.045	39.945	39.879	39.801	39.712	39.622	39.471	39.376	39.303	39.195	39.11	39.025	38.936	38.846	38.688	38.579	38.463	38.362	38.173	38.069	37.941	37.81	37.735	37.566	37.442	37.283	37.187	37.031	36.884	36.72	36.561	36.388
270	Gambia	22	26.04	26.689	27.56	28.467	29.595	30.353	31.101	32.002	33.053	34.137	35.304	35.806	35.809	35.74	35.611	35.401	35.137	35.615	36.112	36.633	37.076	37.577	37.759	37.885	37.971	38.059	38.147	38.226	38.325	38.424	38.547	38.697	38.831	38.97	39.094	39.255	39.418	39.558	39.662	39.766	39.875	39.928	39.937	39.912	39.913	39.933	39.864	39.76	39.696	39.626	39.536	39.446	39.293	39.202	39.132	39.02	38.935	38.852	38.762	38.674	38.521	38.415	38.294	38.202	38.014	37.907	37.778	37.643	37.575	37.41	37.277	37.124	37.032	36.878	36.735	36.577	36.411
270	Gambia	23	25.347	25.863	26.513	27.382	28.291	29.414	30.169	30.917	31.822	32.869	33.949	35.114	35.617	35.621	35.561	35.428	35.222	34.953	35.439	35.933	36.451	36.895	37.394	37.579	37.703	37.791	37.881	37.969	38.048	38.145	38.257	38.372	38.524	38.662	38.797	38.928	39.092	39.262	39.399	39.501	39.608	39.72	39.768	39.771	39.752	39.75	39.771	39.697	39.595	39.542	39.471	39.381	39.287	39.139	39.053	38.977	38.865	38.783	38.699	38.611	38.529	38.379	38.268	38.156	38.065	37.874	37.766	37.633	37.506	37.441	37.266	37.14	36.991	36.902	36.752	36.615	36.449
270	Gambia	24	24.677	25.183	25.7	26.349	27.219	28.125	29.243	29.999	30.752	31.654	32.697	33.776	34.941	35.443	35.457	35.393	35.263	35.052	34.794	35.277	35.769	36.288	36.73	37.232	37.416	37.541	37.632	37.722	37.81	37.887	37.998	38.102	38.219	38.375	38.51	38.653	38.788	38.959	39.126	39.26	39.366	39.477	39.583	39.625	39.635	39.613	39.611	39.627	39.556	39.465	39.411	39.34	39.246	39.159	39.015	38.922	38.847	38.738	38.655	38.573	38.492	38.413	38.257	38.156	38.045	37.952	37.759	37.647	37.522	37.399	37.323	37.156	37.034	36.888	36.803	36.66	36.514
270	Gambia	25	24.106	24.525	25.032	25.549	26.201	27.068	27.97	29.089	29.849	30.6	31.499	32.542	33.621	34.783	35.294	35.303	35.243	35.108	34.908	34.649	35.13	35.624	36.141	36.587	37.086	37.271	37.4	37.491	37.582	37.667	37.759	37.862	37.968	38.09	38.242	38.385	38.533	38.676	38.845	39.008	39.147	39.257	39.362	39.461	39.51	39.517	39.496	39.49	39.508	39.448	39.357	39.303	39.228	39.14	39.057	38.907	38.815	38.743	38.633	38.552	38.477	38.399	38.314	38.169	38.069	37.956	37.86	37.663	37.559	37.439	37.304	37.236	37.073	36.954	36.813	36.736	36.583
270	Gambia	26	23.554	23.965	24.386	24.893	25.414	26.063	26.927	27.83	28.952	29.711	30.459	31.358	32.402	33.478	34.647	35.153	35.165	35.1	34.977	34.775	34.517	35	35.491	36.012	36.456	36.956	37.144	37.273	37.365	37.454	37.555	37.638	37.744	37.855	37.973	38.134	38.282	38.438	38.578	38.743	38.911	39.055	39.158	39.256	39.364	39.409	39.417	39.391	39.387	39.417	39.357	39.266	39.207	39.139	39.056	38.967	38.818	38.728	38.655	38.548	38.474	38.402	38.318	38.244	38.1	37.997	37.882	37.782	37.594	37.494	37.362	37.235	37.172	37.011	36.898	36.764	36.676
270	Gambia	27	22.93	23.422	23.836	24.256	24.768	25.286	25.933	26.798	27.705	28.825	29.581	30.33	31.23	32.271	33.354	34.516	35.024	35.031	34.977	34.852	34.652	34.397	34.878	35.373	35.891	36.337	36.839	37.028	37.158	37.247	37.351	37.444	37.53	37.641	37.749	37.875	38.041	38.197	38.35	38.487	38.657	38.83	38.967	39.064	39.17	39.274	39.32	39.323	39.3	39.308	39.337	39.277	39.182	39.13	39.067	38.977	38.888	38.742	38.653	38.582	38.481	38.41	38.333	38.259	38.187	38.04	37.935	37.816	37.724	37.541	37.43	37.305	37.183	37.122	36.967	36.86	36.716
270	Gambia	28	22.451	22.806	23.3	23.713	24.139	24.648	25.164	25.813	26.682	27.587	28.703	29.46	30.21	31.108	32.156	33.233	34.395	34.896	34.913	34.858	34.734	34.537	34.283	34.767	35.26	35.78	36.227	36.729	36.919	37.046	37.151	37.247	37.343	37.433	37.541	37.657	37.789	37.962	38.115	38.266	38.407	38.582	38.748	38.879	38.984	39.087	39.191	39.233	39.239	39.227	39.234	39.264	39.2	39.111	39.063	38.994	38.905	38.82	38.673	38.586	38.521	38.424	38.348	38.28	38.208	38.133	37.985	37.876	37.764	37.677	37.483	37.379	37.258	37.139	37.083	36.935	36.818
270	Gambia	29	21.99	22.332	22.69	23.183	23.601	24.024	24.531	25.05	25.703	26.57	27.472	28.587	29.345	30.094	30.999	32.04	33.117	34.271	34.78	34.797	34.742	34.622	34.425	34.176	34.659	35.153	35.674	36.121	36.623	36.811	36.952	37.05	37.148	37.248	37.337	37.452	37.573	37.712	37.883	38.033	38.188	38.334	38.503	38.663	38.802	38.903	39.007	39.107	39.151	39.168	39.155	39.163	39.189	39.131	39.046	38.993	38.925	38.839	38.753	38.609	38.527	38.466	38.364	38.297	38.231	38.157	38.079	37.928	37.827	37.719	37.621	37.434	37.335	37.217	37.102	37.052	36.895
270	Gambia	30	21.423	21.876	22.22	22.577	23.074	23.49	23.912	24.421	24.945	25.596	26.46	27.363	28.477	29.233	29.988	30.888	31.929	32.998	34.158	34.665	34.682	34.63	34.51	34.318	34.07	34.554	35.05	35.57	36.017	36.516	36.717	36.852	36.952	37.055	37.153	37.248	37.368	37.496	37.633	37.801	37.956	38.115	38.255	38.419	38.586	38.722	38.824	38.924	39.026	39.08	39.096	39.084	39.088	39.12	39.066	38.976	38.924	38.858	38.772	38.688	38.55	38.472	38.406	38.312	38.247	38.179	38.103	38.022	37.878	37.781	37.664	37.573	37.39	37.292	37.179	37.071	37.012
